Date,Open,High,Low,Close,Volume,Adj Close
2023-05-16,7,7,4,4,2,1
2023-05-15,5,5,4,4,2,1
2023-05-15,11,11,5,5,2,1
2023-05-15,4.25,4.25,4,4,2,1
2023-05-13,6,6,5,5,2,1
2023-05-12,5.5,5.5,5,5,2,1
2023-05-12,4,4,3,3,2,1
2023-05-12,8,8,5,5,2,1
2023-05-12,6,6,5,5,2,1
2023-05-11,6,6,4,4,2,1
2023-05-10,4.5,4.5,2,2,2,1
2023-05-10,6,6,3,3,2,1
2023-05-10,3,3,2,2,2,1
2023-05-09,6,6,4,4,2,1
2023-05-09,5,5,4,4,2,1
2023-04-26,9,9,5,5,2,1
2023-04-25,6,6,4,4,2,1
2023-04-25,5,5,4,4,2,1
2023-04-21,7,7,4,4,2,1
2023-04-20,5,5,4,4,2,1
2023-04-16,5,5,4,4,2,1
2023-04-05,7,7,4,4,2,1
2023-03-24,8,8,4,4,2,1
2023-03-21,8,8,4,4,2,1
2023-03-21,8,8,4,4,2,1
2023-03-17,6,6,4,4,2,1
2023-03-14,5,5,3,3,2,1
2023-03-14,9,9,5,5,2,1
2023-03-10,7,7,4,4,2,1
2023-03-08,9,9,5,5,2,1
2023-03-07,8,8,4,4,2,1
2023-03-05,6,6,5,5,2,1
2023-03-05,5,5,3,3,2,1
2023-03-04,8,8,4,4,2,1
2023-03-03,6,6,3,3,2,1
2023-03-03,5,5,2,2,2,1
2023-03-02,6,6,5,5,2,1
2023-02-28,6,6,3,3,2,1
2023-02-27,6,6,4,4,2,1
2023-02-17,6,6,3,3,2,1
2023-02-17,4,4,3,3,2,1
2023-02-16,5,5,2,2,2,1
2023-02-16,5,5,2,2,2,1
2023-02-16,6,6,3,3,2,1
2023-02-16,8,8,5,5,2,1
2023-02-16,8,8,5,5,2,1
2023-02-13,6,6,4,4,2,1
2023-02-13,5,5,3,3,2,1
2023-02-13,7,7,5,5,2,1
2023-02-13,6,6,4,4,2,1
2023-02-05,7,7,4,4,2,1
2023-01-04,6,6,4,4,2,1
