Date,Hours,High,Low,Close,Volume,Adj Close
2023/5/16,3,3,0,0,4,Visualization definition
2023/5/15,1,1,0,0,4,Documenting data
2023/5/15,6,6,0,0,5,Making website benchmark
2023/5/15,0.25,0.25,0,0,4,Sending ERB
2023/5/13,1,1,0,0,5,Meeting
2023/5/12,0.5,0.5,0,0,5,Coach meeting
2023/5/12,1,1,0,0,3,Signign ERB
2023/5/12,3,3,0,0,5,Starting the data collector
2023/5/12,1,1,0,0,5,Finding participants
2023/5/11,2,2,0,0,4,Researching Analytic Induction
2023/5/10,2.5,2.5,0,0,2,Making the ERB for the datacollection
2023/5/10,3,3,0,0,3,Making the data cards
2023/5/10,1,1,0,0,2,Participant informed consent form
2023/5/9,2,2,0,0,4,MVP
2023/5/9,1,1,0,0,4,MVP
2023/4/26,4,4,0,0,5,Workshop
2023/4/25,2,2,0,0,4,Pilot study
2023/4/25,1,1,0,0,4,Reflecting on pilot study
2023/4/21,3,3,0,0,4,Making the menti
2023/4/20,1,1,0,0,4,Coach meeting Nick 1
2023/4/16,1,1,0,0,4,Presentation making
2023/4/5,3,3,0,0,4,Working on the workshop protocol 
2023/3/24,4,4,0,0,4,midterm demo day
2023/3/21,4,4,0,0,4,Visual demonstrator  (our project)
2023/3/21,4,4,0,0,4,Technical demonstrator
2023/3/17,2,2,0,0,4,coach session
2023/3/14,2,2,0,0,3,decide the topic
2023/3/14,4,4,0,0,5,scoping the design concept
2023/3/10,3,3,0,0,4,coach session
2023/3/8,4,4,0,0,5,luke workshop: prototyping everyday AI
2023/3/7,4,4,0,0,4,workshop: Short design sessions with observer
2023/3/5,1,1,0,0,5,Meeting with Nick 2
2023/3/5,2,2,0,0,3,Mouse of paper mach
2023/3/4,4,4,0,0,4,Mouse of foam
2023/3/3,3,3,0,0,3,Mouse of foamboard
2023/3/3,3,3,0,0,2,session reflection
2023/3/2,1,1,0,0,5,Mouse of clay
2023/2/28,3,3,0,0,3,discuss where do we apply 3D in design
2023/2/27,2,2,0,0,4,The worked out AI examples
2023/2/17,3,3,0,0,3,session benchmark
2023/2/17,1,1,0,0,3,first coaching
2023/2/16,3,3,0,0,2,looking for relevant projects
2023/2/16,3,3,0,0,2,looking for relevant projects
2023/2/16,3,3,0,0,3,looking for relevant projects
2023/2/16,3,3,0,0,5,looking for relevant projects
2023/2/16,3,3,0,0,5,looking for relevant projects
2023/2/13,2,2,0,0,4,squad topics in persona interest
2023/2/13,2,2,0,0,3,squad topics in personal interest
2023/2/13,2,2,0,0,5,squad topics in personal interest
2023/2/13,2,2,0,0,4,squad topics in personal interest
2023/2/5,3,3,0,0,4,Analyzing study data
2023/1/4,2,2,0,0,4,preparing of the pilot
